Image number,pos_x,pos_y,pos_z,o_x,o_y,o_z,o_w
0,-0.1390904,-0.16663325740318904,0.7877676774500764,0.038613214887526545,0.9400938333212457,-0.14667405694204233,-0.3053183997199938
1,0.018548684210526314,-0.08894543828264759,0.6478352610609179,-0.05687313811618824,0.865682527937027,-0.4067656827443862,0.28618330895925564
2,-0.014560281690140845,-0.18393103448275863,0.8321489550528974,-0.04129809943687846,0.9531183447250291,-0.2902449204226982,0.07495181185497667
3,-0.2811131964809384,-0.04222906403940886,0.8663134282808757,0.0690904221474568,0.8348261205627449,-0.5268790072293167,0.1438414882246884
4,-0.21775853658536587,0.05575609756097562,1.0293131673999256,-0.24676933446893906,0.9325208078676708,-0.20450183451528645,-0.16639963383212733
5,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,0.1415725049574117,0.06050457911201016,-0.9743534276949908
6,-0.2778539130434783,-0.04473863636363637,0.8562692146196482,0.05352166017738909,0.9423512773610659,-0.32407145104433344,-0.06393118617579147
7,-0.21036220930232558,0.015729357798165138,0.85875836931331,-0.1658111731635527,0.9779770949514468,-0.11824347135094558,-0.045672071196007365
8,0.019579166666666665,-0.09525,0.6478352610609179,-0.058835763605301655,0.875939871645273,-0.3760699205395613,0.2963766337760317
9,-0.28193999999999997,-0.043186397984886646,0.86886140895229,0.05173341764191988,0.9357796418714956,-0.3451355393171405,-0.050215285105321694
10,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,0.1415725049574117,0.06050457911201016,-0.9743534276949908
11,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780068,0.040919260217396586,-0.4961030759474285,-0.5757036095931198
12,-0.2367713178294574,0.049850467289719626,1.1450111590844134,-0.12352467411889262,0.7573688780483834,-0.551839349981166,-0.32650783950759654
13,0.019579166666666665,-0.14752134146341464,0.7240511741269084,-0.06915536126308125,0.9005335824523193,-0.38929854168010897,0.18084094760287261
14,0.01953129584352078,-0.14873053278688525,0.7222808778576494,-0.06082261798740883,0.9065559256353116,-0.3966345834532107,0.13091206990021637
15,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,-0.003814839667992667,0.960362570171169,0.24926735403501601,-0.1247195534987039
16,0.01953129584352078,-0.14662727272727272,0.7222808778576494,-0.05983073438255723,0.8924096990145104,-0.436415777240884,0.097808392806088
17,-0.2246822622107969,-0.04268464730290456,0.7594161415007162,0.058582143206564095,0.995521397391744,-0.05254235709812704,-0.052388744431300455
18,-0.21226517241379309,0.055084337349397584,1.018665100150961,-0.2618764038465657,0.9350700631912654,-0.12351148472617483,-0.20447405501092175
19,-0.27866162790697674,-0.04307788944723619,0.85875836931331,0.04858699289404167,0.9427502433302504,-0.3286018342660193,-0.029700460253601155
20,-0.30125993031358883,-0.02712816455696202,0.5146565836999628,0.08854581689360873,0.7302093348617444,-0.4200087444926812,0.5315511453671169
21,0.018712831858407077,-0.09029084380610411,0.6535683164685367,-0.05568985120344814,0.888281981721894,-0.350574689614559,0.2914638029375486
22,0.019389077669902912,-0.1460628803245436,0.7170215510771326,-0.07021103981213,0.9111872327189786,-0.3606659188056062,0.18635539120330577
23,-0.14122677595628413,-0.16512866817155755,0.807139013780816,0.021243828683476993,0.9391593254562031,-0.3346377560178595,-0.07447169528652106
24,0.01953129584352078,-0.14873053278688525,0.7222808778576494,-0.06139854294761642,0.9171077782569015,-0.37404084390525044,0.12343819941674347
25,-0.21097551020408162,0.01580184331797235,0.8612620380285092,-0.16789364990256872,0.9806604495339878,-0.0785552414117531,-0.06281623268655823
26,-0.14398050139275764,-0.16401793721973093,0.8228771004004976,0.011403226249602645,0.9499874683510915,-0.30925226803036215,0.0419143307838907
27,0.017518201754385964,-0.0886283422459893,0.6478352610609179,-0.047582757813911435,0.8963891868382459,-0.3862532220756726,0.212204512945536
28,-0.21159239766081872,0.01576551724137931,0.8637803480812242,-0.16707110572597383,0.979198596943247,-0.08610045065814041,-0.07644648960117169
29,0.019436253041362532,-0.14722210953346856,0.7187661290602887,-0.06641183370625486,0.8957547358634678,-0.40137757156633985,0.17918975016850017
30,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,0.1415725049574117,0.06050457911201016,-0.9743534276949908
31,-0.3647741239892183,-0.065484375,0.7962611294980556,0.04489851909757413,0.9960579902267376,-0.0018676557101529317,-0.07647950673523941
32,-0.013311614730878187,-0.18350917431192662,0.8368636800107043,-0.03960038082517218,0.9503167185529925,-0.30266239404237866,0.061036214739364346
33,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,-0.003814839667992667,0.960362570171169,0.24926735403501601,-0.1247195534987039
34,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780068,0.040919260217396586,-0.4961030759474285,-0.5757036095931198
35,-0.2690768156424581,-0.03865217391304347,0.8251756397870912,0.004182431126041121,0.9741081506710625,-0.08252511180260448,0.21044102258838707
36,-0.21159239766081872,0.01580184331797235,0.8637803480812242,-0.16828258672193713,0.9816428384059149,-0.0710611595640749,-0.054850892553918784
37,-0.3518163212435233,-0.065484375,0.7653183394916545,0.06696446995482824,0.9900652777040618,-0.11688483126305628,-0.040304365384591485
38,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,-0.003814839667992667,0.960362570171169,0.24926735403501601,-0.1247195534987039
39,-0.21159239766081872,0.01576551724137931,0.8637803480812242,-0.16825397456914495,0.9811979228637385,-0.07996610714378678,-0.0504644222976833
40,0.019436253041362532,-0.15082886597938142,0.7187661290602887,-0.06866740974189804,0.909685341892062,-0.37181347972273504,0.17179086670289526
41,-0.42025454545454544,-0.05454149377593361,0.7258301696407338,-0.003814839667992667,0.960362570171169,0.24926735403501601,-0.1247195534987039
42,-0.28193999999999997,-0.044513819095477386,0.86886140895229,0.04692268207242001,0.9528142073569134,-0.29990246902658174,0.0013628050878783087
43,-0.44225882352941176,-5.1435,8.6886140895229,0.6486699515780068,0.040919260217396586,-0.4961030759474285,-0.5757036095931198
44,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,0.1415725049574117,0.06050457911201016,-0.9743534276949908
45,-0.14478711484593837,-0.167013698630137,0.8274870561450383,0.005989531108534298,0.9614548464619568,-0.27476668680123917,-0.008483605140788886
46,-0.14478711484593837,-0.16663325740318904,0.8274870561450383,0.009054169260625109,0.9516327787635267,-0.3070956009005125,-0.0023169612343884338
47,-0.2246822622107969,-0.04268464730290456,0.7594161415007162,0.05734422696903396,0.9957918270399204,-0.06560876469216101,-0.02838603229389408
48,-0.3518163212435233,-0.065484375,0.7653183394916545,0.06696446995482824,0.9900652777040618,-0.11688483126305628,-0.040304365384591485
49,-0.4810880952380952,-1.7996170212765956,2.344546659077608,0.1641091700228367,0.1415725049574117,0.06050457911201016,-0.9743534276949908
